author,0-author,1|   set([u'hep-th', u'hep-lat'])   0
author,134-author,136|   set([u'hep-th'])   0
author,137-author,138|   set([u'cond-mat', u'hep-th'])   0
author,139-author,140|   set([u'hep-th', u'math.QA'])   0
author,139-author,141|   set([u'hep-th', u'math.QA'])   0
author,142-author,143|   set([u'hep-th'])   0
author,142-author,144|   set([u'hep-th'])   0
author,145-author,146|   set([u'hep-th', u'hep-lat'])   0
author,145-author,147|   set([u'hep-th'])   0
author,148-author,149|   set([u'hep-th'])   0
author,150-author,61|   set([u'hep-th'])   0
author,150-author,17|   set([u'hep-th', u'gr-qc'])   0
author,151-author,152|   set([u'hep-th', u'math.DG', u'math.QA', u'dg-ga', u'q-alg'])   0
author,151-author,153|   set([u'math.MP', u'hep-th', u'math-ph', u'q-alg', u'math.QA'])   0
author,151-author,154|   set([u'math.MP', u'hep-th', u'math-ph', u'q-alg', u'math.QA'])   0
author,151-author,155|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,156-author,157|   set([u'hep-th', u'gr-qc'])   0
author,156-author,158|   set([u'hep-th'])   0
author,156-author,159|   set([u'hep-th'])   0
author,156-author,160|   set([u'hep-th'])   0
author,161-author,162|   set([u'hep-th'])   0
author,161-author,62|   set([u'hep-th'])   0
author,161-author,60|   set([u'hep-th'])   0
author,161-author,163|   set([u'hep-th'])   0
author,161-author,76|   set([u'hep-th'])   0
author,161-author,164|   set([u'hep-th'])   0
author,161-author,165|   set([u'hep-th'])   0
author,161-author,166|   set([u'hep-th'])   0
author,161-author,167|   set([u'hep-th'])   0
author,168-author,169|   set([u'cond-mat', u'hep-th'])   0
author,170-author,171|   set([u'hep-th'])   0
author,9-author,172|   set([u'hep-th'])   0
author,173-author,174|   set([u'hep-th', u'hep-lat'])   0
author,173-author,175|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,176-author,177|   set([u'hep-th'])   0
author,176-author,169|   set([u'hep-th'])   0
author,176-author,178|   set([u'cond-mat', u'hep-th'])   0
author,176-author,179|   set([u'cond-mat', u'hep-th'])   0
author,180-author,181|   set([u'hep-th'])   0
author,180-author,182|   set([u'hep-th', u'hep-ph'])   0
author,180-author,183|   set([u'hep-th'])   0
author,184-author,185|   set([u'hep-th', u'gr-qc'])   0
author,184-author,186|   set([u'hep-th', u'gr-qc'])   0
author,187-author,146|   set([u'hep-th'])   0
author,187-author,188|   set([u'hep-th'])   0
author,187-author,189|   set([u'hep-th'])   0
author,190-author,191|   set([u'hep-th'])   0
author,192-author,193|   set([u'hep-th'])   0
author,192-author,194|   set([u'hep-th'])   0
author,195-author,196|   set([u'hep-th'])   0
author,195-author,103|   set([u'hep-th'])   0
author,51-author,6|   set([u'hep-th'])   0
author,51-author,197|   set([u'hep-th'])   0
author,51-author,198|   set([u'hep-th'])   0
author,51-author,199|   set([u'hep-th'])   0
author,103-author,196|   set([u'hep-th'])   0
author,200-author,62|   set([u'hep-th'])   0
author,201-author,202|   set([u'hep-th', u'hep-ph'])   0
author,201-author,203|   set([u'hep-th', u'hep-ph'])   0
author,57-author,59|   set([u'hep-th', u'gr-qc'])   0
author,57-author,60|   set([u'hep-th', u'gr-qc'])   0
author,204-author,205|   set([u'hep-th'])   0
author,204-author,155|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,204-author,206|   set([u'hep-th'])   0
author,207-author,208|   set([u'hep-th'])   0
author,207-author,209|   set([u'hep-th'])   0
author,210-author,211|   set([u'cond-mat', u'hep-th', u'gr-qc'])   0
author,210-author,212|   set([u'cond-mat', u'hep-th', u'hep-ph'])   0
author,213-author,214|   set([u'hep-th', u'gr-qc'])   0
author,32-author,215|   set([u'hep-th'])   0
author,32-author,216|   set([u'hep-th'])   0
author,217-author,218|   set([u'hep-th'])   0
author,217-author,55|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,217-author,219|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,220-author,221|   set([u'hep-th', u'hep-ph'])   0
author,220-author,222|   set([u'hep-th', u'hep-ph'])   0
author,220-author,223|   set([u'hep-th', u'hep-ph'])   0
author,224-author,225|   set([u'cond-mat', u'hep-th'])   0
author,224-author,226|   set([u'hep-th'])   0
author,227-author,228|   set([u'hep-th'])   0
author,229-author,230|   set([u'hep-th', u'hep-ph'])   0
author,231-author,232|   set([u'hep-th'])   0
author,231-author,233|   set([u'hep-th'])   0
author,231-author,234|   set([u'hep-th', u'hep-ph'])   0
author,231-author,235|   set([u'hep-th'])   0
author,231-author,236|   set([u'hep-th'])   0
author,237-author,238|   set([u'hep-th'])   0
author,237-author,239|   set([u'hep-th'])   0
author,240-author,241|   set([u'hep-th'])   0
author,240-author,242|   set([u'hep-th'])   0
author,240-author,158|   set([u'hep-th'])   0
author,240-author,243|   set([u'hep-th'])   0
author,244-author,245|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,244-author,246|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,244-author,247|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,248-author,249|   set([u'hep-th'])   0
author,250-author,251|   set([u'hep-th', u'hep-ph'])   0
author,250-author,252|   set([u'hep-th', u'hep-ph'])   0
author,250-author,253|   set([u'hep-th', u'nucl-th', u'gr-qc', u'hep-ph'])   0
author,254-author,255|   set([u'hep-th'])   0
author,256-author,63|   set([u'hep-th'])   0
author,257-author,258|   set([u'cond-mat', u'hep-th', u'quant-ph', u'supr-con'])   0
author,257-author,259|   set([u'cond-mat', u'hep-th', u'quant-ph', u'supr-con'])   0
author,260-author,261|   set([u'hep-ex', u'hep-th', u'hep-ph'])   0
author,260-author,262|   set([u'hep-ex', u'hep-th', u'hep-ph'])   0
author,263-author,264|   set([u'hep-th'])   0
author,265-author,266|   set([u'hep-th'])   0
author,265-author,267|   set([u'hep-th'])   0
author,265-author,268|   set([u'hep-th'])   0
author,269-author,270|   set([u'hep-th'])   0
author,269-author,271|   set([u'hep-th', u'hep-ph'])   0
author,272-author,273|   set([u'hep-th', u'gr-qc'])   0
author,274-author,275|   set([u'hep-th'])   0
author,274-author,276|   set([u'hep-th'])   0
author,274-author,277|   set([u'hep-th', u'gr-qc'])   0
author,278-author,279|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,278-author,280|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,278-author,281|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,278-author,282|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,283-author,284|   set([u'hep-th'])   0
author,283-author,285|   set([u'hep-th'])   0
author,286-author,287|   set([u'hep-th'])   0
author,288-author,289|   set([u'hep-th'])   0
author,288-author,290|   set([u'hep-th'])   0
author,288-author,291|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,288-author,292|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,116-author,117|   set([u'hep-th'])   0
author,135-author,293|   set([u'hep-th', u'gr-qc'])   0
author,135-author,136|   set([u'hep-th'])   0
author,294-author,295|   set([u'hep-th', u'hep-ph'])   0
author,296-author,297|   set([u'hep-th', u'hep-ph'])   0
author,298-author,299|   set([u'hep-th', u'gr-qc'])   0
author,300-author,301|   set([u'hep-th', u'quant-ph', u'hep-ph'])   0
author,300-author,302|   set([u'hep-th', u'quant-ph', u'hep-ph'])   0
author,197-author,303|   set([u'hep-th'])   0
author,197-author,6|   set([u'hep-th'])   0
author,197-author,198|   set([u'hep-th'])   0
author,304-author,305|   set([u'hep-th', u'nucl-th', u'hep-ph'])   0
author,304-author,306|   set([u'hep-th'])   0
author,307-author,308|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,307-author,309|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,307-author,310|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,311-author,312|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,311-author,313|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,311-author,314|   set([u'hep-th'])   0
author,311-author,315|   set([u'hep-th', u'astro-ph', u'hep-ph'])   0
author,316-author,21|   set([u'hep-th'])   0
author,169-author,317|   set([u'hep-th', u'gr-qc'])   0
author,182-author,318|   set([u'hep-th', u'hep-ph'])   0
author,319-author,320|   set([u'hep-th', u'cond-mat.stat-mech'])   0
author,321-author,322|   set([u'hep-th'])   0
author,321-author,323|   set([u'hep-th'])   0
author,324-author,325|   set([u'hep-th'])   0
author,324-author,326|   set([u'hep-th'])   0
author,324-author,327|   set([u'hep-th'])   0
author,324-author,328|   set([u'hep-th'])   0
author,324-author,329|   set([u'hep-th'])   0
author,330-author,159|   set([u'hep-th'])   0
author,330-author,158|   set([u'hep-th'])   0
author,330-author,331|   set([u'hep-th', u'math.QA'])   0
author,330-author,332|   set([u'hep-th'])   0
author,330-author,333|   set([u'hep-th', u'math.AG'])   0
author,330-author,334|   set([u'hep-th', u'math.QA'])   0
author,330-author,41|   set([u'hep-th'])   0
author,335-author,336|   set([u'hep-th', u'gr-qc'])   0
author,39-author,337|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,39-author,242|   set([u'hep-th'])   0
author,39-author,338|   set([u'hep-th'])   0
author,39-author,339|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,39-author,340|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,39-author,41|   set([u'hep-th'])   0
author,39-author,341|   set([u'hep-th'])   0
author,39-author,342|   set([u'hep-th'])   0
author,39-author,343|   set([u'hep-th'])   0
author,253-author,344|   set([u'cond-mat', u'hep-th'])   0
author,253-author,282|   set([u'hep-th'])   0
author,253-author,345|   set([u'cond-mat', u'hep-th'])   0
author,346-author,347|   set([u'hep-th'])   0
author,346-author,348|   set([u'hep-th'])   0
author,40-author,349|   set([u'hep-th', u'gr-qc'])   0
author,350-author,351|   set([u'hep-th'])   0
author,350-author,352|   set([u'hep-th'])   0
author,353-author,354|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,194-author,193|   set([u'hep-th'])   0
author,243-author,355|   set([u'hep-th'])   0
author,243-author,356|   set([u'hep-th'])   0
author,101-author,98|   set([u'hep-th'])   0
author,101-author,357|   set([u'hep-th', u'gr-qc'])   0
author,358-author,359|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,360-author,361|   set([u'hep-th'])   0
author,362-author,363|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,362-author,364|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,15-author,219|   set([u'hep-th'])   0
author,15-author,365|   set([u'hep-th'])   0
author,15-author,366|   set([u'hep-th'])   0
author,15-author,367|   set([u'hep-th'])   0
author,368-author,369|   set([u'hep-th'])   0
author,368-author,370|   set([u'hep-th'])   0
author,371-author,372|   set([u'hep-th'])   0
author,371-author,373|   set([u'hep-th'])   0
author,371-author,374|   set([u'hep-th'])   0
author,371-author,375|   set([u'hep-th', u'hep-ph'])   0
author,371-author,376|   set([u'hep-th'])   0
author,377-author,378|   set([u'hep-th'])   0
author,379-author,19|   set([u'cond-mat', u'hep-th'])   0
author,379-author,380|   set([u'cond-mat', u'hep-th'])   0
author,381-author,382|   set([u'cond-mat', u'hep-th'])   0
author,381-author,383|   set([u'cond-mat', u'hep-th'])   0
author,381-author,384|   set([u'cond-mat', u'hep-th'])   0
author,230-author,385|   set([u'hep-th', u'hep-ph'])   0
author,230-author,386|   set([u'hep-th', u'hep-ph'])   0
author,387-author,20|   set([u'hep-th'])   0
author,387-author,388|   set([u'hep-th'])   0
author,389-author,390|   set([u'hep-th'])   0
author,389-author,391|   set([u'hep-th'])   0
author,392-author,44|   set([u'hep-th'])   0
author,392-author,393|   set([u'hep-th'])   0
author,394-author,395|   set([u'hep-th'])   0
author,5-author,396|   set([u'hep-th'])   0
author,247-author,397|   set([u'hep-th'])   0
author,247-author,398|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,247-author,399|   set([u'hep-th', u'gr-qc'])   0
author,247-author,400|   set([u'hep-th'])   0
author,247-author,401|   set([u'hep-th'])   0
author,402-author,403|   set([u'hep-th'])   0
author,402-author,73|   set([u'hep-th'])   0
author,402-author,404|   set([u'hep-th'])   0
author,402-author,63|   set([u'hep-th'])   0
author,402-author,405|   set([u'hep-th'])   0
author,205-author,406|   set([u'hep-th', u'gr-qc'])   0
author,205-author,93|   set([u'hep-th'])   0
author,205-author,206|   set([u'hep-th'])   0
author,20-author,407|   set([u'hep-th'])   0
author,408-author,409|   set([u'hep-th', u'hep-ph'])   0
author,410-author,411|   set([u'hep-th'])   0
author,410-author,412|   set([u'hep-th'])   0
author,413-author,414|   set([u'hep-th'])   0
author,413-author,21|   set([u'hep-th'])   0
author,415-author,416|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,415-author,275|   set([u'nlin.SI', u'hep-th', u'solv-int'])   0
author,417-author,418|   set([u'hep-th'])   0
author,417-author,419|   set([u'hep-th'])   0
author,420-author,421|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,53-author,198|   set([u'hep-th'])   0
author,53-author,199|   set([u'hep-th'])   0
author,277-author,422|   set([u'hep-th', u'gr-qc'])   0
author,277-author,423|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,277-author,424|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,425-author,426|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,427-author,428|   set([u'hep-th'])   0
author,427-author,429|   set([u'hep-th'])   0
author,427-author,430|   set([u'hep-th'])   0
author,431-author,432|   set([u'hep-th', u'hep-ph'])   0
author,431-author,433|   set([u'hep-th', u'hep-ph'])   0
author,434-author,435|   set([u'hep-th'])   0
author,436-author,437|   set([u'hep-th'])   0
author,436-author,438|   set([u'hep-th'])   0
author,439-author,175|   set([u'cond-mat', u'hep-th'])   0
author,440-author,363|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,440-author,364|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,441-author,442|   set([u'hep-th'])   0
author,443-author,444|   set([u'hep-th', u'hep-lat'])   0
author,443-author,445|   set([u'hep-th', u'hep-lat'])   0
author,443-author,446|   set([u'hep-th', u'hep-lat'])   0
author,165-author,60|   set([u'hep-th'])   0
author,165-author,62|   set([u'hep-th'])   0
author,165-author,164|   set([u'hep-th'])   0
author,165-author,63|   set([u'hep-th'])   0
author,447-author,448|   set([u'hep-th'])   0
author,447-author,449|   set([u'hep-th'])   0
author,447-author,450|   set([u'hep-th'])   0
author,357-author,98|   set([u'hep-th', u'gr-qc'])   0
author,451-author,452|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,451-author,453|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,451-author,454|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,396-author,455|   set([u'hep-th'])   0
author,456-author,225|   set([u'cond-mat', u'hep-th'])   0
author,456-author,226|   set([u'hep-th'])   0
author,388-author,457|   set([u'hep-th'])   0
author,388-author,458|   set([u'hep-th'])   0
author,388-author,163|   set([u'hep-th'])   0
author,457-author,21|   set([u'hep-th'])   0
author,457-author,459|   set([u'hep-th'])   0
author,460-author,461|   set([u'hep-th', u'math.QA'])   0
author,460-author,462|   set([u'hep-th', u'math.QA'])   0
author,463-author,464|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,463-author,465|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,466-author,406|   set([u'hep-th'])   0
author,466-author,467|   set([u'hep-th'])   0
author,468-author,469|   set([u'hep-th'])   0
author,468-author,470|   set([u'hep-th'])   0
author,391-author,390|   set([u'hep-th'])   0
author,471-author,472|   set([u'hep-th', u'gr-qc'])   0
author,473-author,474|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,473-author,475|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,473-author,163|   set([u'hep-th'])   0
author,473-author,476|   set([u'hep-th'])   0
author,473-author,477|   set([u'hep-th', u'math.AG'])   0
author,473-author,478|   set([u'hep-th'])   0
author,473-author,479|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,473-author,64|   set([u'hep-th'])   0
author,480-author,481|   set([u'hep-th', u'hep-lat'])   0
author,480-author,482|   set([u'hep-th', u'hep-lat'])   0
author,480-author,483|   set([u'hep-th', u'hep-lat'])   0
author,397-author,245|   set([u'hep-th', u'hep-lat'])   0
author,397-author,246|   set([u'hep-th', u'hep-lat'])   0
author,397-author,398|   set([u'hep-th', u'hep-lat'])   0
author,234-author,484|   set([u'hep-th'])   0
author,234-author,485|   set([u'hep-th', u'hep-ph'])   0
author,486-author,487|   set([u'hep-th', u'hep-ph'])   0
author,488-author,489|   set([u'hep-th'])   0
author,488-author,63|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,444-author,490|   set([u'hep-th', u'hep-lat'])   0
author,491-author,492|   set([u'hep-th', u'hep-lat'])   0
author,491-author,157|   set([u'hep-th', u'hep-lat'])   0
author,491-author,493|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,491-author,494|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,491-author,495|   set([u'hep-th', u'hep-lat'])   0
author,491-author,496|   set([u'hep-th', u'hep-lat'])   0
author,491-author,497|   set([u'hep-th', u'hep-lat'])   0
author,491-author,367|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,498-author,499|   set([u'nlin.SI', u'hep-th', u'solv-int', u'astro-ph', u'gr-qc'])   0
author,498-author,500|   set([u'q-alg', u'hep-th', u'math.DG', u'math.QA', u'dg-ga'])   0
author,501-author,502|   set([u'hep-th'])   0
author,501-author,503|   set([u'hep-th'])   0
author,501-author,504|   set([u'hep-th'])   0
author,308-author,356|   set([u'cond-mat', u'hep-th', u'q-alg', u'math.QA'])   0
author,308-author,461|   set([u'cond-mat', u'hep-th', u'q-alg', u'math.QA'])   0
author,505-author,279|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,505-author,59|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,506-author,411|   set([u'hep-th'])   0
author,506-author,412|   set([u'hep-th'])   0
author,507-author,508|   set([u'cond-mat', u'hep-th'])   0
author,507-author,509|   set([u'hep-th'])   0
author,510-author,511|   set([u'hep-th', u'hep-ph'])   0
author,510-author,512|   set([u'hep-th', u'hep-ph'])   0
author,510-author,513|   set([u'hep-th', u'hep-ph'])   0
author,514-author,515|   set([u'hep-th'])   0
author,144-author,516|   set([u'hep-th'])   0
author,144-author,517|   set([u'hep-th'])   0
author,144-author,143|   set([u'hep-th'])   0
author,518-author,519|   set([u'hep-th', u'gr-qc'])   0
author,242-author,158|   set([u'hep-th'])   0
author,242-author,45|   set([u'hep-th'])   0
author,424-author,520|   set([u'hep-th'])   0
author,424-author,423|   set([u'astro-ph', u'hep-th', u'hep-ph'])   0
author,465-author,464|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,158-author,159|   set([u'hep-th'])   0
author,158-author,332|   set([u'hep-th'])   0
author,158-author,41|   set([u'hep-th'])   0
author,329-author,521|   set([u'hep-th'])   0
author,329-author,522|   set([u'hep-th'])   0
author,329-author,327|   set([u'hep-th'])   0
author,329-author,523|   set([u'hep-th'])   0
author,329-author,328|   set([u'hep-th'])   0
author,524-author,423|   set([u'nlin.SI', u'hep-th', u'solv-int', u'gr-qc'])   0
author,310-author,525|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,526-author,267|   set([u'hep-th'])   0
author,526-author,527|   set([u'hep-th'])   0
author,526-author,528|   set([u'hep-th'])   0
author,526-author,529|   set([u'hep-th'])   0
author,526-author,530|   set([u'hep-th'])   0
author,526-author,531|   set([u'hep-th'])   0
author,331-author,532|   set([u'hep-th', u'math.QA'])   0
author,331-author,334|   set([u'hep-th', u'math.QA'])   0
author,331-author,64|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,533-author,215|   set([u'nlin.SI', u'hep-th', u'solv-int'])   0
author,533-author,216|   set([u'nlin.SI', u'hep-th', u'solv-int'])   0
author,534-author,484|   set([u'hep-th'])   0
author,534-author,270|   set([u'hep-th'])   0
author,178-author,535|   set([u'hep-th', u'hep-ph'])   0
author,178-author,536|   set([u'hep-th'])   0
author,178-author,317|   set([u'cond-mat', u'hep-th'])   0
author,178-author,537|   set([u'hep-th'])   0
author,538-author,72|   set([u'nlin.SI', u'cond-mat', u'hep-th', u'solv-int'])   0
author,399-author,539|   set([u'hep-th'])   0
author,540-author,541|   set([u'hep-th', u'gr-qc'])   0
author,540-author,542|   set([u'hep-th', u'gr-qc'])   0
author,208-author,209|   set([u'hep-th'])   0
author,99-author,98|   set([u'hep-th'])   0
author,99-author,100|   set([u'hep-th'])   0
author,99-author,543|   set([u'hep-th'])   0
author,544-author,545|   set([u'cond-mat', u'hep-th'])   0
author,544-author,546|   set([u'hep-th'])   0
author,544-author,547|   set([u'cond-mat', u'hep-th'])   0
author,183-author,38|   set([u'hep-th'])   0
author,183-author,548|   set([u'hep-th', u'hep-ph'])   0
author,183-author,318|   set([u'hep-th'])   0
author,549-author,550|   set([u'cond-mat', u'hep-th'])   0
author,549-author,551|   set([u'cond-mat', u'hep-th'])   0
author,552-author,553|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,452-author,453|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,452-author,454|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,225-author,554|   set([u'hep-th', u'hep-ph'])   0
author,225-author,555|   set([u'hep-th'])   0
author,69-author,60|   set([u'hep-th'])   0
author,69-author,556|   set([u'hep-th'])   0
author,557-author,558|   set([u'hep-th'])   0
author,559-author,160|   set([u'hep-th'])   0
author,559-author,560|   set([u'cond-mat', u'hep-th'])   0
author,559-author,561|   set([u'cond-mat', u'hep-th'])   0
author,355-author,241|   set([u'hep-th'])   0
author,355-author,562|   set([u'hep-th'])   0
author,355-author,356|   set([u'hep-th'])   0
author,543-author,119|   set([u'hep-th'])   0
author,543-author,373|   set([u'hep-th'])   0
author,563-author,564|   set([u'hep-th'])   0
author,563-author,63|   set([u'hep-th'])   0
author,474-author,477|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,474-author,475|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,565-author,566|   set([u'hep-th'])   0
author,567-author,568|   set([u'hep-th'])   0
author,569-author,166|   set([u'hep-th'])   0
author,569-author,570|   set([u'hep-th'])   0
author,571-author,572|   set([u'hep-th', u'hep-ph'])   0
author,573-author,228|   set([u'hep-th'])   0
author,108-author,109|   set([u'hep-th', u'gr-qc'])   0
author,560-author,574|   set([u'hep-th'])   0
author,560-author,290|   set([u'cond-mat', u'hep-th'])   0
author,475-author,477|   set([u'hep-th', u'alg-geom', u'math.AG'])   0
author,570-author,166|   set([u'hep-th'])   0
author,45-author,43|   set([u'hep-th'])   0
author,45-author,44|   set([u'hep-th'])   0
